College,Location,State,Program Level,Course / Specialization,Total Fee (INR),Notes,Hostel Fee (INR/year)
Al-Ameen Engineering College,Palakkad,Kerala,B.Tech,Computer Science & Engineering,"300,000",,"43,400/year"
Al-Ameen Engineering College,Palakkad,Kerala,B.Tech,Artificial Intelligence & Data Science,"300,000",Total 4-year,"43,400/year"
Al-Ameen Engineering College,Palakkad,Kerala,B.Tech,Computer Science Engineering - Cyber Security,"300,000",,"43,400/year"
Al-Ameen Engineering College,Palakkad,Kerala,B.Tech,Electrical & Electronics Engineering,"200,000",,"43,400/year"
Al-Ameen Engineering College,Palakkad,Kerala,B.Tech,Mechanical Engineering,"200,000",,"43,400/year"
Al-Ameen Engineering College,Palakkad,Kerala,B.Tech,Electronics & Communication Engineering,"200,000",,"43,400/year"
Al-Ameen Engineering College,Palakkad,Kerala,B.Tech,Civil Engineering Engineering,"200,000",,"43,400/year"
Al-Ameen Engineering College,Palakkad,Kerala,BCA,Artificial Intelligence & Machine Learning,"395,000",Total 8-sem (4-year equivalent),"43,400/year"
Al-Ameen Engineering College,Palakkad,Kerala,BCA,"Cloud Computing, Ethical Hacking & Cyber Security","395,000",,"43,400/year"
Al-Ameen Engineering College,Palakkad,Kerala,BBA,Aviation & Airport Management & Logistics SCM,"370,000",Total 8-sem,"43,400/year"
Al-Ameen Engineering College,Palakkad,Kerala,M.Tech,Electronics & Communication Engineering,"200,000",,"43,400/year"
Al-Ameen Engineering College,Palakkad,Kerala,M.Tech,Electrical & Electronics Engineering,"200,000",,"43,400/year"
Al-Azhar Group of Institutions,Idukki,Kerala,BBA,Logistics & SCM,"325,000",Total 3-year (6 sem),
Al-Azhar Group of Institutions,Idukki,Kerala,BBA,Hospital Admin,"325,000",Total 3-year (6 sem),
Al-Azhar Group of Institutions,Idukki,Kerala,BBA,Entrepreneurship,"325,000",Total 3-year (6 sem),
Al-Azhar Group of Institutions,Idukki,Kerala,BBA,Aviation Management ,"325,000",Total 3-year (6 sem),
Al-Azhar Group of Institutions,Idukki,Kerala,BBA,Retail,"325,000",Total 3-year (6 sem),
Al-Azhar Group of Institutions,Idukki,Kerala,BCA,Artificial Intelligence & Machine Learning,"345,000",,
Al-Azhar Group of Institutions,Idukki,Kerala,BCA,Cloud Computing & DevOps,"345,000",,
Al-Azhar Group of Institutions,Idukki,Kerala,BCA,Ethical Hacking & Cyber Security,"345,000",,
